Longitude,Latitude,Type,Name,Street,City,State,Zip_Code,Score
-83.2545078,42.4833513,Verizon Locations,Verizon 1 Towne Sq,1 Towne Sq,Southfield,MI,48076,10
-91.664282,41.9802449,Verizon Locations,Verizon 500 2nd Ave SE,500 2nd Ave SE,Cedar Rapids,IA,52401,10
-93.4041571,44.9855645,Verizon Locations,Verizon 505 Highway 169 N,505 Highway 169 N,Plymouth,MN,55441,10
-88.2979195,42.057814,Verizon Locations,Verizon 777 Big Timber Rd,777 Big Timber Rd,Elgin,IL,60123,10
-88.0425767,42.0408099,Verizon Locations,Verizon 1515 E Woodfield Rd,1515 E Woodfield Rd,Schaumburg,IL,60173,10
-90.674245,38.7084732,Verizon Locations,Verizon 500 Technology Dr,500 Technology Dr,Weldon Spring,MO,63304,10
-93.2807177,37.2080419,Verizon Locations,Verizon 300 John Q Hammons Pkwy,300 John Q Hammons Pkwy,Springfield,MO,65806,10
-94.65264,38.9332878,Verizon Locations,Verizon 10740 Nall Ave,10740 Nall Ave,Overland Park,KS,66211,10
-96.0293499,41.3382239,Verizon Locations,Verizon 7400 World Communications Dr,7400 World Communications Dr,Omaha,NE,68122,10
-96.724133,40.856315,Verizon Locations,Verizon 4600 Innovation DR,4600 Innovation DR,Lincoln,NE,68521,10
-92.2643137,34.7549408,Verizon Locations,Verizon One Verizon Dr,One Verizon Dr,Little Rock,AR,72114,10
-95.9044995,36.2540837,Verizon Locations,Verizon 6929 N Lakewood AVE,6929 N Lakewood AVE,Tulsa,OK,74117,10
-96.9519044,32.878619,Verizon Locations,Verizon 600 Hidden Ridge,600 Hidden Ridge,Irving,TX,75038,10
-96.9531655,32.8757848,Verizon Locations,Verizon 700 Hidden Ridge,700 Hidden Ridge,Irving,TX,75038,10
-96.704168,32.961564,Verizon Locations,Verizon 1201 E Arapaho Rd,1201 E Arapaho Rd,Richardson,TX,75081,10
-96.7072747,32.9542589,Verizon Locations,Verizon 400 International Pkwy,400 International Pkwy,Richardson,TX,75081,10
-96.7036276,32.984634,Verizon Locations,Verizon 2400 N Glenville,2400 N Glenville,Richardson,TX,75082,10
-97.0403352,32.8998091,Verizon Locations,Verizon 2200 W Airfield Dr Dock E,2200 W Airfield Dr Dock E,Dfw Airport,TX,75261,10
-95.4736889,29.739131,Verizon Locations,Verizon 5444 Westheimer,5444 Westheimer,Houston,TX,77056,10
-98.4829715,29.5196773,Verizon Locations,Verizon 100 Ne Loop 410,100 Ne Loop 410,San Antonio,TX,78216,10
-97.7999625,30.2421074,Verizon Locations,Verizon 3815 S Capital Of Texas Hwy,3815 S Capital Of Texas Hwy,Austin,TX,78704,10
-104.8915882,39.6228505,Verizon Locations,Verizon 8350 E Crescent PKWY,8350 E Crescent PKWY,Greenwood Village,CO,80111,10
-104.911402,39.5612744,Verizon Locations,Verizon 6415-6455 Business Center Dr,6415-6455 Business Center Dr,Highlands Ranch,CO,80130,10
-104.8729309,38.9002141,Verizon Locations,Verizon 2424 Garden Of The Gods RD,2424 Garden Of The Gods RD,Colorado Springs,CO,80919,10
-111.9618505,33.2919328,Verizon Locations,Verizon 6955 W Morelos PL,6955 W Morelos PL,Chandler,AZ,85226,10
-106.7145395,35.0774234,Verizon Locations,Verizon 7000 Central AVE SW,7000 Central AVE SW,Albuquerque,NM,87121,10
-118.9324099,34.187218,Verizon Locations,Verizon 2535 W Hillcrest Dr,2535 W Hillcrest Dr,Thousand Oaks,CA,91320,10
-117.7689686,33.6687967,Verizon Locations,Verizon 15505 Sand Canyon Ave,15505 Sand Canyon Ave,Irvine,CA,92618,10
-122.3918424,37.7912413,Verizon Locations,Verizon 201 Spear St,201 Spear St,San Francisco,CA,94105,10
-122.0209671,37.9283134,Verizon Locations,Verizon 2770 Shadelands DR,2770 Shadelands DR,Walnut Creek,CA,94598,10
-121.9277463,37.3951912,Verizon Locations,Verizon 2870 Zanker RD,2870 Zanker RD,San Jose,CA,95134,10
-121.18116,38.659062,Verizon Locations,Verizon 255 Parkshore DR,255 Parkshore DR,Folsom,CA,95630,10
-121.182588,38.661145,Verizon Locations,Verizon 600 Coolidge DR,600 Coolidge DR,Folsom,CA,95630,10
-121.4996507,38.4691,Verizon Locations,Verizon 7901 Freeport Blvd,7901 Freeport Blvd,Sacramento,CA,95832,10
-122.1322073,47.5809197,Verizon Locations,Verizon 3305 160th Ave SE,3305 160th Ave SE,Bellevue,WA,98008,10
-122.1350759,47.5794218,Verizon Locations,Verizon 3245 158th Ave SE,3245 158th Ave SE,Bellevue,WA,98008,10
-71.062228,42.366303,NBA Stadium,TD Garden,100 Legends Way,Boston,MA,2114,8
-73.993611,40.750556,NBA Stadium,Madison Square Garden,4 Pennsylvania Plaza,New York,NY,10001,8
-74.171111,40.733611,NBA Stadium,Barclays Center,620 Atlantic Avenue,Brooklyn,NY,11217,8
-75.171944,39.901111,NBA Stadium,Wells Fargo Center,3601 S Broad St,Philadelphia,PA,19148,8
-77.020833,38.898056,NBA Stadium,Verizon Center,601 F Street NW,Washington,DC,20004,8
-80.839167,35.225,NBA Stadium,Time Warner Cable Arena,333 East Trade Street,Charlotte,NC,28302,8
-84.396389,33.757222,NBA Stadium,Philips Arena,1 Philips Drive NW,Atlanta,GA,30303,8
-81.383611,28.539167,NBA Stadium,Amway Center,400 W. Church St,Orlando,FL,32801,8
-80.188056,25.781389,NBA Stadium,American Airlines Arena,601 Biscayne Boulevard,Miami,FL,33132,8
-90.050556,35.138333,NBA Stadium,FedExForum,191 Beale Street,Memphis,TN,38103,8
-81.688056,41.496389,NBA Stadium,Quicken Loans Arena,1 Center Court,Cleveland,OH,44115,8
-86.155556,39.763889,NBA Stadium,Bankers Life Fieldhouse,125 S. Pennsylvania St,Indianapolis,IN,46204,8
-83.245556,42.696944,NBA Stadium,The Palace of Auburn Hills,6 Championship Drive,Auburn Hills,MI,48326,8
-87.916944,43.043611,NBA Stadium,BMO Harris Bradley Center,1001 North Fourth Street,Milwaukee,WI,53203,8
-93.276111,44.979444,NBA Stadium,Target Center,600 First Avenue North,Minneapolis,MN,55403,8
-87.674167,41.880556,NBA Stadium,United Center,1901 W Madison Street,Chicago,IL,60612,8
-90.081944,29.948889,NBA Stadium,Smoothie King Center,1501 Girod Street,New Orleans,LA,70113,8
-97.515,35.463333,NBA Stadium,Chesapeake Energy Arena,100 W Reno Ave,Oklahoma City,OK,73102,8
-96.810278,32.790556,NBA Stadium,American Airlines Center,2500 Victory Avenue,Dallas,TX,75219,8
-95.362222,29.750833,NBA Stadium,Toyota Center,1510 Polk Street,Houston,TX,77002,8
-98.4375,29.426944,NBA Stadium,AT&T Center,1 AT&T Center Parkway,San Antonio,TX,78219,8
-105.0075,39.748611,NBA Stadium,Pepsi Center,1000 Chopper Circle,Denver,CO,80204,8
-111.901111,40.768333,NBA Stadium,EnergySolutions Arena,301 West South Temple,Salt Lake City,UT,84101,8
-112.071389,33.445833,NBA Stadium,Talking Stick Resort Arena,201 East Jefferson,Phoenix,AZ,85004,8
-118.267222,34.043056,NBA Stadium,Staples Center,1111 S. Figueroa Street,Los Angeles,CA,90015,8
-122.203056,37.750278,NBA Stadium,Oracle Arena,7000 Coliseum Way,Oakland,CA,94621,8
-121.518056,38.649167,NBA Stadium,Sleep Train Arena,One Sports Parkway,Sacramento,CA,95834,8
-72.614602,42.036791,Theme Park,Six Flags New England,1623 Main St,Agawam,MA,1001,5
-72.606072,42.205639,Halls of Fame,Volleyball Hall of Fame,444 Dwight St,Holyoke,MA,1040,5
-72.585096,42.093714,Halls of Fame,Naismith Memorial Basketball Hall of Fame,1000 Hall Fame Ave,Springfield,MA,1105,5
-71.252674,42.094399,Halls of Fame,New England Patriots Hall of Fame,2 Patriot Dr,Foxborough,MA,2035,5
-71.068125,42.378493,Halls of Fame,Entrepreneur Walk of Fame,321 Main St,Boston,MA,2129,5
-71.116158,42.372443,Best Burgers,Mr. Bartley's Burger Cottage,1246 Massachusetts Ave,Cambridge,MA,2138,5
-71.098585,42.363513,Best Burgers,Craigie on Main,853 Main St,Cambridge,MA,2139,5
-71.272913,41.66354,Halls of Fame,America's Cup Hall of Fame,1 Burnside St,Bristol,RI,2809,5
-71.308297,41.482789,Halls of Fame,International Tennis Hall of Fame,194 Bellevue Ave,Newport,RI,2840,5
